amfi_code,cagr_1y,cagr_3y,sharpe_ratio,sortino_ratio,alpha,beta,max_drawdown,expense_ratio_pct,return_rank,sharpe_rank,alpha_rank,expense_rank,drawdown_rank,fund_score,fund_score_100
148567,0.1458071475984759,0.3127857318272198,1.4482911703262602,2.385644373368819,0.2698375144191807,0.023683558075848623,-0.11265729075028275,1.46,4.0,1.0,7.0,23.0,8.0,7.1,100.0
100033,0.4773458959806238,0.3362921056230763,1.0936987435346308,1.8291339615146944,0.2719535450128533,0.0051035258305283104,-0.16217208574644848,1.38,2.0,7.0,6.0,17.0,20.0,8.1,96.48814749780509
120505,0.3035341170540422,0.30206534630200976,1.1801011976606492,2.0293529404657464,0.2926358334175106,0.000549004250631712,-0.18188513572116294,1.36,5.0,5.0,3.0,15.0,25.0,8.1,96.48814749780509
120843,0.2848107293384283,0.2566188265022562,1.3067439695428407,2.364320032166718,0.27330465038306057,-0.02282956979242654,-0.1297396816518679,1.45,10.0,2.0,5.0,22.0,13.0,9.1,92.97629499561019
120504,0.11500730028249406,0.28369809430069837,1.0265242847993001,1.8052937940992546,0.2119482701352573,0.016232169761417007,-0.12588275606922517,0.8,6.0,10.0,13.0,12.0,12.0,9.899999999999999,90.16681299385426
119094,0.30918202012534524,0.3606601747719518,0.9982309868636414,1.7037974802463003,0.2607666908004223,-0.06626542862803757,-0.20960883862039192,1.38,1.0,11.0,9.0,17.0,28.0,10.2,89.11325724319579
119551,0.48883881388717176,0.27727427651752534,1.208266567372718,2.140267129061794,0.23201007160635082,-0.03175144113890972,-0.1501238549864533,1.54,8.0,4.0,10.0,30.5,17.0,11.675,83.93327480245829
101206,0.4509392715300502,0.32528591355184844,1.0272133278753697,1.7995628746984524,0.21399784776051212,0.02108631625012803,-0.11291596329323073,1.6,3.0,9.0,12.0,36.5,9.0,11.925,83.05531167690957
119598,0.8453224636924352,0.27814418371202754,0.9453082575156094,1.6753165700125519,0.3033696538698332,-0.023196062044059693,-0.2870600572176455,1.43,7.0,14.0,1.0,21.0,36.0,12.549999999999999,80.86040386303776
148569,0.4446574419216476,0.23317122535147572,1.2349300257743299,2.146913926346056,0.2827036785246582,0.018133884083859245,-0.1639674294693263,1.6,13.0,3.0,4.0,36.5,21.0,13.025,79.19227392449518
149323,0.22305604128077272,0.24242464971409516,1.1321218524747247,1.8751010639192085,0.26598577542043045,-0.002523004664699247,-0.17248105753451382,1.61,12.0,6.0,8.0,38.0,22.0,14.599999999999998,73.66110623353819
119552,0.08251685485100624,0.15383382573944893,0.9532794968660105,1.6097764896283082,0.1986859936686296,-0.026159307513513405,-0.11803493502764295,0.66,23.0,12.0,15.0,4.0,11.0,14.599999999999998,73.66110623353819
149324,0.6208181174018113,0.25029675402929885,0.9497958246616032,1.6197931764914093,0.3005787817097677,0.011455159960520708,-0.31171900300634214,1.52,11.0,13.0,2.0,26.5,37.0,14.625,73.57330992098332
118632,0.21776763418747302,0.18088593620415083,1.0816591793457044,1.8501325468557264,0.21829397904608644,-0.008353832126962021,-0.17414075086657232,1.51,17.0,8.0,11.0,24.5,23.0,15.275000000000002,71.29060579455661
125497,0.2934732237752924,0.1770571225538371,0.7757902498211209,1.3306512447571368,0.17729754927531766,0.04882040425957739,-0.15200013055606398,0.92,18.0,18.0,16.0,14.0,18.0,16.999999999999996,65.23266022827042
118633,0.28406736513935327,0.18128823270614958,0.6452074382933216,1.154475716923624,0.15643835948169668,-0.03663900671860934,-0.18629743138595511,0.72,16.0,21.0,22.0,5.5,26.0,17.875,62.159789288849865
118635,0.21995365120873123,0.16236841860639406,0.664856998549062,1.1379767187807421,0.1513635464823924,-0.001433521389780133,-0.1165062450540909,0.89,22.0,19.0,23.0,13.0,10.0,18.9,58.56014047410009
120506,0.3289620693417177,0.18246287427399865,0.6488787755249532,1.0958951614736467,0.1625385327998104,0.04189646272811977,-0.1982565826298267,1.41,15.0,20.0,20.0,19.0,27.0,19.05,58.03336259877084
120503,0.04807407420549259,0.1480416951560286,0.7979728586052847,1.3379431500669237,0.17703302365844073,-0.0402689523698206,-0.13897862823061635,1.42,24.0,17.0,17.0,20.0,14.0,19.25,57.33099209833187
102885,0.18318548216870223,0.17520119946365442,0.8170993373494371,1.4357420130649496,0.17048756803412696,-0.019486785689474526,-0.1085986215250232,1.57,19.0,16.0,19.0,34.0,7.0,19.3,57.155399473222126
148568,0.1049631940675948,0.13077495792463978,0.9262873467360146,1.6327409778735162,0.20873010086942337,-0.026387719943843004,-0.1527259422823477,1.52,25.0,15.0,14.0,26.5,19.0,19.924999999999997,54.96049165935031
102887,0.1272785953848785,0.2566304169554934,0.6195175900829829,1.0887552508030016,0.16211256794033255,0.016682689437770827,-0.21539827112383225,1.64,9.0,22.0,21.0,39.5,30.0,21.325,50.043898156277436
119093,0.19794246952869954,0.20575450839484977,0.1296144979566933,0.2210868397927636,0.08232801295222093,0.02588321244009315,-0.21751396370148224,0.75,14.0,29.0,28.0,8.0,31.0,21.35,49.95610184372256
120507,0.07014400079311978,0.07051904540600296,0.49572339295331147,1.0521238822609271,0.06746210411099539,-0.0004440926329707234,-0.0009773140045925555,0.74,29.0,23.0,31.0,7.0,1.0,21.8,48.37576821773485
149322,0.1912760461187113,0.16528044392382957,0.4640374492204777,0.7621288703723165,0.13173190226099432,-0.004050271130006534,-0.14844576917771746,1.54,21.0,25.0,24.0,30.5,16.0,23.525000000000002,42.31782265144863
125498,0.16670899216585977,0.12492937768565682,0.3006119210425479,0.5088128197169232,0.11989100971217971,0.009054412621739154,-0.21117279560132118,0.78,26.0,27.0,26.0,10.0,29.0,24.15,40.122914837576815
120844,0.06837152766088916,0.0654165743882027,-0.08874729621557495,-0.18772304774242665,0.06455677495375998,-0.00040074423947840013,-0.0011629327956168556,0.6,30.0,34.0,32.0,3.0,2.0,24.549999999999997,38.71817383669886
120841,0.18155118861657193,0.16684258851596145,0.4942725378672354,0.8625738849916588,0.13042924450705445,0.036356399022199795,-0.1757361416468729,1.59,20.0,24.0,25.0,35.0,24.0,24.65,38.366988586479366
118634,0.2236521211328215,0.0758063522976058,0.44843400890899143,0.7460146308533573,0.1750072167561127,0.1034966369133759,-0.2334488614483311,1.53,28.0,26.0,18.0,28.5,32.0,25.974999999999998,33.71378402107111
118636,0.10622598136417083,0.04152061472814461,-0.3566295075143679,-0.6135251287271025,0.05074772999976104,0.0012566742731558458,-0.08316361763638702,0.55,34.0,38.0,35.0,1.0,6.0,27.45,28.533801580333616
