amfi_code,HHI,concentration_level
119092,2967.6908999999996,Highly Concentrated
148569,2549.9193999999998,Highly Concentrated
125498,2531.55,Highly Concentrated
102887,2513.8255,Highly Concentrated
149323,2410.7663999999995,Moderately Concentrated
120505,2386.9504,Moderately Concentrated
118635,2374.9677,Moderately Concentrated
119599,2323.612,Moderately Concentrated
120506,2314.6434,Moderately Concentrated
100033,2276.4744,Moderately Concentrated
119552,2275.0834999999997,Moderately Concentrated
101207,2227.2651,Moderately Concentrated
120504,2212.1303,Moderately Concentrated
118633,2212.0032,Moderately Concentrated
148568,2180.8585,Moderately Concentrated
120841,2158.9314999999997,Moderately Concentrated
118632,2072.5894,Moderately Concentrated
148567,2012.4815,Moderately Concentrated
149324,1887.0082,Moderately Concentrated
119598,1880.8485,Moderately Concentrated
119093,1842.332,Moderately Concentrated
149322,1826.9533000000001,Moderately Concentrated
120503,1821.6750000000002,Moderately Concentrated
102885,1807.1201999999998,Moderately Concentrated
100016,1805.8807999999997,Moderately Concentrated
101206,1800.4225,Moderately Concentrated
119094,1751.0025,Moderately Concentrated
125497,1724.1088,Moderately Concentrated
120842,1620.6189,Moderately Concentrated
118634,1602.9924,Moderately Concentrated
119095,1595.8229000000001,Moderately Concentrated
119551,1424.9103999999998,Diversified
120843,1362.0616,Diversified
102886,1240.2024000000001,Diversified
