investor_id,sip_transaction_count,average_gap_days,total_sip_amount,status
INV001890,6,102.6,7890,At-Risk
INV001156,6,102.4,51977,At-Risk
INV004296,6,102.2,77419,At-Risk
INV003325,6,101.0,42846,At-Risk
INV000522,6,100.8,28275,At-Risk
INV000608,6,100.2,45475,At-Risk
INV001883,6,99.2,16745,At-Risk
INV002166,6,99.2,88421,At-Risk
INV001367,6,99.0,71798,At-Risk
INV001491,6,98.8,37904,At-Risk
INV004454,6,98.4,64506,At-Risk
INV002873,6,98.2,103488,At-Risk
INV003684,6,98.2,50536,At-Risk
INV001769,6,98.0,28957,At-Risk
INV001237,6,98.0,66778,At-Risk
INV000437,6,97.8,32739,At-Risk
INV001141,6,97.6,34460,At-Risk
INV001304,6,97.6,127605,At-Risk
INV002558,6,97.6,52002,At-Risk
INV000318,6,97.4,69726,At-Risk
INV004143,6,97.0,61426,At-Risk
INV001070,6,97.0,103923,At-Risk
INV001190,6,97.0,45744,At-Risk
INV002395,6,97.0,58610,At-Risk
INV000380,6,97.0,72700,At-Risk
INV002912,6,97.0,82487,At-Risk
INV001013,6,96.8,81838,At-Risk
INV003649,6,96.8,86339,At-Risk
INV003193,6,96.6,65353,At-Risk
INV003686,6,96.6,70889,At-Risk
INV003234,6,96.6,45926,At-Risk
INV004625,6,96.4,78521,At-Risk
INV001891,6,96.4,22169,At-Risk
INV001167,6,96.2,78024,At-Risk
INV000549,6,96.2,86784,At-Risk
INV000335,6,96.0,68848,At-Risk
INV002883,6,96.0,127978,At-Risk
INV003473,6,95.8,40058,At-Risk
INV001809,6,95.6,66937,At-Risk
INV002463,6,95.4,43792,At-Risk
INV002372,6,95.2,55170,At-Risk
INV002560,6,95.2,25934,At-Risk
INV003996,6,95.2,97507,At-Risk
INV003645,6,95.2,18205,At-Risk
INV001772,6,95.0,113146,At-Risk
INV000491,6,95.0,43008,At-Risk
INV004463,6,94.8,77554,At-Risk
INV000214,6,94.8,67357,At-Risk
INV002348,6,94.4,43335,At-Risk
INV000663,6,94.4,83316,At-Risk
INV001331,6,94.2,31343,At-Risk
INV000814,6,94.0,111708,At-Risk
INV002594,6,94.0,98891,At-Risk
INV000339,6,94.0,74556,At-Risk
INV000651,6,94.0,34381,At-Risk
