amfi_code,VaR_95,CVaR_95,VaR_Rank,CVaR_Rank
100016,-0.014364,-0.01806,21.0,21.0
100025,-0.003793,-0.004994,37.0,36.0
100033,-0.019034,-0.023456,8.0,9.0
101206,-0.013282,-0.017439,30.0,27.0
101207,-0.026021,-0.032459,3.0,1.0
101208,-0.000269,-0.000422,39.0,38.0
102885,-0.012613,-0.01549,33.0,34.0
102886,-0.01922,-0.023251,7.0,10.0
102887,-0.015232,-0.019411,15.0,15.0
118632,-0.013954,-0.017619,23.0,23.0
118633,-0.013443,-0.01663,29.0,30.0
118634,-0.025438,-0.032304,4.0,3.0
118635,-0.012554,-0.016177,34.0,33.0
118636,-0.003804,-0.004919,36.0,37.0
119092,-0.01375,-0.017328,24.0,29.0
119093,-0.014226,-0.017487,22.0,25.0
119094,-0.01848,-0.02426,10.0,8.0
119095,-0.026188,-0.031667,2.0,4.0
119120,-0.003938,-0.005014,35.0,35.0
119551,-0.012846,-0.016397,32.0,31.0
119552,-0.013501,-0.017336,28.0,28.0
119598,-0.024507,-0.030595,5.0,6.0
119599,-0.026859,-0.032384,1.0,2.0
120503,-0.01355,-0.017451,27.0,26.0
120504,-0.013728,-0.017494,25.0,24.0
120505,-0.018892,-0.024342,9.0,7.0
120506,-0.014388,-0.019405,20.0,16.0
120507,-0.000222,-0.000373,40.0,40.0
120841,-0.013142,-0.016363,31.0,32.0
120842,-0.018219,-0.022725,12.0,12.0
120843,-0.014508,-0.018381,18.0,19.0
120844,-0.000285,-0.000411,38.0,39.0
125497,-0.014592,-0.01831,17.0,20.0
125498,-0.018365,-0.023094,11.0,11.0
148567,-0.01356,-0.017623,26.0,22.0
148568,-0.014712,-0.018765,16.0,17.0
148569,-0.017118,-0.021328,14.0,14.0
149322,-0.014474,-0.018402,19.0,18.0
149323,-0.017882,-0.022607,13.0,13.0
149324,-0.023483,-0.031036,6.0,5.0
